,id,id_str,url,date,user,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,hashtags,cashtags,mentionedUsers,links,viewCount,retweetedTweet,quotedTweet,place,coordinates,inReplyToTweetId,inReplyToUser,source,sourceUrl,sourceLabel,media,_type
0,1718135376584544400,1718135376584544400,https://twitter.com/MemeBattleRoyal/status/1718135376584544400,2023-10-28 05:19:29+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",en,@Paparealsmurf https://t.co/F541hDgOOP launching soon,0,0,0,0,1718134579805229086,[],[],[],"[{'url': 'http://Mememasters.io', 'text': 'Mememasters.io', 'tcourl': 'https://t.co/F541hDgOOP'}]",56,,,,,1.718134579805229e+18,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
1,1716634976404513195,1716634976404513195,https://twitter.com/MemeBattleRoyal/status/1716634976404513195,2023-10-24 01:57:26+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",en,"We postponed our initial launch date in early Oct due to market conditions. We have Finalized a new launch Date and will be releasing #MemeMasters on PinkSale at the end of Nov.

#Fairlaunch #Presale #Ethererum #BTC",5,2,7,0,1716634976404513195,"['MemeMasters', 'Fairlaunch', 'Presale', 'Ethererum', 'BTC']",[],[],[],144,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
2,1712639765365850509,1712639765365850509,https://twitter.com/ProTheDoge/status/1712639765365850509,2023-10-13 01:21:54+00:00,"{'id': 1358176095850229761, 'id_str': '1358176095850229761', 'url': 'https://twitter.com/ProTheDoge', 'username': 'ProTheDoge', 'displayname': 'SlumDOGE Millionaire', 'rawDescription': 'Slumdoge.eth IG: @ProTheDoge Glauber Contessoto The Dogecoin Millionaire 🤲🏼💎 email me: thedogecoinmillionaire@gmail.com Tweets Are Not Financial Advice', 'created': datetime.datetime(2021, 2, 6, 22, 9, 56, tzinfo=datetime.timezone.utc), 'followersCount': 288944, 'friendsCount': 90, 'statusesCount': 12863, 'favouritesCount': 12613, 'listedCount': 536, 'mediaCount': 1193, 'location': 'The Moon, CA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1674319778956345345/cfp81wRE_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1358176095850229761/1686698248', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://app.efani.com/checkout/?r=fpdp6esj', 'text': 'app.efani.com/checkout/?r=fp…', 'tcourl': 'https://t.co/PesbqVnZoz'}], '_type': 'snscrape.modules.twitter.User'}",en,"My networth is 100% in crypto.

Ok, well maybe 99% in crypto.

But what does that mean? 🤔

That means I’m diversifying my entire portfolio, I have 3 big plays and 20 little ones. I’m setting myself up for a WIN no matter WHAT. It doesn’t matter how you cut the cake or how you slice the pie I’m gonna win. I’m setting myself up so there’s NO POSSIBLE WAY I CAN LOSE. 

#Dogecoin doesn’t work out? Ok bet I’ll make it with #Cardano, if $ADA doesn’t work out? ok cool, I’ll make it with #Chainlink, if $LINK doesn’t work out? that’s fine I’ll make it with 1 out of the 20 OTHER FUCKING CRYPTO COINS I put $10K-$20K in.

I’m not here to play games. 

The hands-down best possible way to WIN in crypto is to GUARANTEE you fucking win. I’m not taking any chances this next time around, I’m fucking buying everything and I’m doing it strategically so I’ve got a safety net for a safety net for a safety net.  

I’ll be unstoppable come next bull run and I want everyone to be as well.

Set YOURSELF up for SUCCESS. 

What does that mean? That means put in the time, put in the work, put in that energy like your life depends on it (because it does) and buy up as much of these solid crypto coins as you possibly can. Cover all your bases and hopefully next bull run you’ll be so far in the green you’ll forget the last time you had to skip a meal to put gas in your tank.

Change your fucking life.",98,33,278,2,1712639765365850509,[],[],[],[],43436,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
3,1712714942846243258,1712714942846243258,https://twitter.com/MemeBattleRoyal/status/1712714942846243258,2023-10-13 06:20:37+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",qme,@ProTheDoge https://t.co/F541hDgOOP,0,0,0,0,1712639765365850509,[],[],"[{'id': 1358176095850229761, 'username': 'ProTheDoge', 'displayname': 'SlumDOGE Millionaire', '_type': 'snscrape.modules.twitter.UserRef'}]","[{'url': 'http://Mememasters.io', 'text': 'Mememasters.io', 'tcourl': 'https://t.co/F541hDgOOP'}]",9,,,,,1.7126397653658506e+18,"{'id': 1358176095850229761, 'username': 'ProTheDoge', 'displayname': 'SlumDOGE Millionaire', '_type': 'snscrape.modules.twitter.UserRef'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
4,1712706003140006148,1712706003140006148,https://twitter.com/3orovik/status/1712706003140006148,2023-10-13 05:45:06+00:00,"{'id': 1373786106118963200, 'id_str': '1373786106118963200', 'url': 'https://twitter.com/3orovik', 'username': '3orovik', 'displayname': 'borovik.eth', 'rawDescription': '@rollbitcom Partner https://t.co/JprmdXKV8o | satire & shitposter | TG: https://t.co/MOYvi6gNq5 | 512 everydays 👉https://t.co/v3BU2l0mAv', 'created': datetime.datetime(2021, 3, 21, 23, 59, 14, tzinfo=datetime.timezone.utc), 'followersCount': 139349, 'friendsCount': 2484, 'statusesCount': 82979, 'favouritesCount': 162437, 'listedCount': 749, 'mediaCount': 8836, 'location': '🦇🔊', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602013001275432961/fPt7sb1f_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1373786106118963200/1694307035', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://rollbit.com/referral/borovik', 'text': 'rollbit.com/referral/borov…', 'tcourl': 'https://t.co/JprmdXKV8o'}, {'url': 'https://t.me/borovikTG', 'text': 't.me/borovikTG', 'tcourl': 'https://t.co/MOYvi6gNq5'}, {'url': 'https://opensea.io/collection/aied', 'text': 'opensea.io/collection/aied', 'tcourl': 'https://t.co/v3BU2l0mAv'}, {'url': 'https://www.linktr.ee/borovik', 'text': 'linktr.ee/borovik', 'tcourl': 'https://t.co/SJ5JxRvjAM'}], '_type': 'snscrape.modules.twitter.User'}",en,What NFT will make it through the bear market?,76,7,64,0,1712706003140006148,[],[],[],[],7462,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
5,1712714674628968643,1712714674628968643,https://twitter.com/MemeBattleRoyal/status/1712714674628968643,2023-10-13 06:19:33+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",en,@3orovik We're building a really awesome NFT game using memeCharacters come scope us out launching mid november,0,0,2,0,1712706003140006148,[],[],"[{'id': 1373786106118963200, 'username': '3orovik', 'displayname': 'borovik.eth', '_type': 'snscrape.modules.twitter.UserRef'}]",[],33,,,,,1.7127060031400061e+18,"{'id': 1373786106118963200, 'username': '3orovik', 'displayname': 'borovik.eth', '_type': 'snscrape.modules.twitter.UserRef'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
6,1712714451630387611,1712714451630387611,https://twitter.com/MemeBattleRoyal/status/1712714451630387611,2023-10-13 06:18:40+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",qme,@3orovik https://t.co/F541hDgOOP,0,0,1,0,1712706003140006148,[],[],"[{'id': 1373786106118963200, 'username': '3orovik', 'displayname': 'borovik.eth', '_type': 'snscrape.modules.twitter.UserRef'}]","[{'url': 'http://Mememasters.io', 'text': 'Mememasters.io', 'tcourl': 'https://t.co/F541hDgOOP'}]",5,,,,,1.7127060031400061e+18,"{'id': 1373786106118963200, 'username': '3orovik', 'displayname': 'borovik.eth', '_type': 'snscrape.modules.twitter.UserRef'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
7,1711508355498287114,1711508355498287114,https://twitter.com/MemeBattleRoyal/status/1711508355498287114,2023-10-09 22:26:04+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",en,@3orovik MemeMasters Community will be pushing out some future millionaires. That's a promise,0,0,0,0,1711505059605856648,[],[],"[{'id': 1373786106118963200, 'username': '3orovik', 'displayname': 'borovik.eth', '_type': 'snscrape.modules.twitter.UserRef'}]",[],34,,,,,1.7115050596058568e+18,"{'id': 1373786106118963200, 'username': '3orovik', 'displayname': 'borovik.eth', '_type': 'snscrape.modules.twitter.UserRef'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
8,1708273120262623486,1708273120262623486,https://twitter.com/MemeBattleRoyal/status/1708273120262623486,2023-10-01 00:10:24+00:00,"{'id': 1501320963941560322, 'id_str': '1501320963941560322', 'url': 'https://twitter.com/MemeBattleRoyal', 'username': 'MemeBattleRoyal', 'displayname': 'MemeMasters', 'rawDescription': 'New GameFi P2E Project\nPlay, Win, Earn as you represent your favorite blockchain communities', 'created': datetime.datetime(2022, 3, 8, 22, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 305, 'friendsCount': 258, 'statusesCount': 2378, 'favouritesCount': 246, 'listedCount': 0, 'mediaCount': 688, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1635125737601794051/Pr2P-hBX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1501320963941560322/1678679478', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'https://mememasters.io/', 'text': 'mememasters.io', 'tcourl': 'https://t.co/SX84BIUXVi'}], '_type': 'snscrape.modules.twitter.User'}",en,"No private sale, No venture capital yet we are still planning in bringing a game changing project to the crypto space that will combine the NFT,Gaming and MemeCoin Community all under 1 roof.

Imagine if V-Bucks where tradeable? Or how about all the skins you buy that just sit around, Wouldn't a marketplace to trade digital content you pay for work perfectly?

A P2E system that doesn't reward players by minting rewards, and a gaming ecosystem that brings Memes as playable assets. Use your Character in any game mode or on any supported network.

Join us for our Fair Launch on Pinksale on Nov.13
https://t.co/zKciDOWrwa…",12,10,15,1,1708273120262623486,[],[],[],"[{'url': 'http://pinksale.finance/launchpad/0x9F', 'text': 'pinksale.finance/launchpad/0x9F', 'tcourl': 'https://t.co/zKciDOWrwa'}]",344,,,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"{'photos': [{'url': 'https://pbs.twimg.com/media/F7UBWa1bkAA5axm.jpg'}], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
9,1702699171860353189,1702699171860353189,https://twitter.com/FFVV1211/status/1702699171860353189,2023-09-15 15:01:31+00:00,"{'id': 1379181238502580224, 'id_str': '1379181238502580224', 'url': 'https://twitter.com/FFVV1211', 'username': 'FFVV1211', 'displayname': 'FFV', 'rawDescription': 'Collecting NFTs and being a part of the community • I ask a lot of questions • Podcast Host🎙@ffvpodcast • https://t.co/LME7cjq1XF', 'created': datetime.datetime(2021, 4, 5, 21, 16, 55, tzinfo=datetime.timezone.utc), 'followersCount': 43077, 'friendsCount': 5217, 'statusesCount': 101048, 'favouritesCount': 118414, 'listedCount': 272, 'mediaCount': 8798, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1579296300578721792/jfSpzBg1_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1379181238502580224/1691154628', 'protected': None, 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': [{'url': 'http://contenthqs.com/', 'text': 'contenthqs.com', 'tcourl': 'https://t.co/LME7cjq1XF'}, {'url': 'https://side.xyz/ffv', 'text': 'side.xyz/ffv', 'tcourl': 'https://t.co/1tmNjj4eQG'}], '_type': 'snscrape.modules.twitter.User'}",en,"Name 1 NFT project that hasn’t disappointed the majority of their holders, bet you can’t name 1😂",953,86,565,16,1702699171860353189,[],[],[],[],159655,,,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"{'photos': [], 'videos': [], 'animated': []}",snscrape.modules.twitter.Tweet
